Transaction ID,Date,Time,Product Name,Category,Quantity,Sale Price,Cost Price,Staff Member,Revenue,Cost,Profit
TXN000001,2025-06-14,00:20,Tequila Shot,Spirits,2,6.9,1.9,Staff E,13.8,3.8,10.0
TXN000001,2025-06-14,00:20,Hop House 13,Beer,1,6.1,2.4,Staff E,6.1,2.4,3.7
TXN000001,2025-06-14,00:20,Coke,Soft Drink,1,3.4,0.95,Staff E,3.4,0.95,2.45
TXN000002,2025-09-23,20:45,Margarita,Cocktails,1,10.9,3.35,Staff A,10.9,3.35,7.55
TXN000002,2025-09-23,20:45,Sambuca Shot,Spirits,2,6.8,1.9,Staff A,13.6,3.8,9.8
TXN000002,2025-09-23,20:45,Smirnoff Ice,Alcopops,1,6.3,2.7,Staff A,6.3,2.7,3.6
TXN000003,2025-03-05,21:10,Guinness,Beer,4,5.9,2.15,Staff E,23.6,8.6,15.0
TXN000004,2025-06-28,14:50,Vodka White Lemonade,Spirits,2,7.6,2.2,Staff H,15.2,4.4,10.8
TXN000005,2025-06-23,23:45,Vodka Coke,Spirits,1,7.6,2.25,Staff C,7.6,2.25,5.35
TXN000006,2025-08-16,21:10,Vodka Red Bull,Spirits,1,8.8,3.0,Staff C,8.8,3.0,5.8
TXN000006,2025-08-16,21:10,Salted Peanuts,Snacks,1,2.1,0.85,Staff C,2.1,0.85,1.25
TXN000007,2025-04-15,20:45,Mojito,Cocktails,1,10.5,3.25,Staff B,10.5,3.25,7.25
TXN000008,2025-12-13,23:10,Guinness,Beer,1,5.9,2.15,Staff G,5.9,2.15,3.75
TXN000008,2025-12-13,23:10,7Up,Soft Drink,1,3.4,0.95,Staff G,3.4,0.95,2.45
TXN000008,2025-12-13,23:10,Hop House 13,Beer,2,6.1,2.4,Staff G,12.2,4.8,7.4
TXN000009,2025-05-22,20:35,Red Bull,Soft Drink,1,4.2,1.55,Staff F,4.2,1.55,2.65
TXN000010,2025-01-25,16:45,Tequila Shot,Spirits,4,6.9,1.9,Staff F,27.6,7.6,20.0
TXN000011,2025-08-22,18:25,Hop House 13,Beer,3,6.1,2.4,Staff G,18.3,7.2,11.1
TXN000012,2025-05-31,12:45,Coors Light,Beer,1,6.0,2.35,Staff F,6.0,2.35,3.65
TXN000012,2025-05-31,12:45,Jagerbomb,Spirits,1,8.5,3.1,Staff F,8.5,3.1,5.4
TXN000013,2025-10-09,23:55,Vodka Red Bull,Spirits,2,8.8,3.0,Staff C,17.6,6.0,11.6
TXN000013,2025-10-09,23:55,Coors Light,Beer,3,6.1,2.35,Staff C,18.3,7.05,11.25
TXN000014,2025-12-20,18:00,Hop House 13,Beer,3,6.1,2.4,Staff A,18.3,7.2,11.1
TXN000015,2025-06-01,19:45,Carlsberg,Beer,2,5.9,2.25,Staff E,11.8,4.5,7.3
TXN000016,2025-03-01,22:45,Blue WKD,Alcopops,1,6.3,2.65,Staff H,6.3,2.65,3.65
TXN000016,2025-03-01,22:45,Coors Light,Beer,1,6.0,2.35,Staff H,6.0,2.35,3.65
TXN000016,2025-03-01,22:45,Rockshore Lager,Beer,2,6.0,2.4,Staff H,12.0,4.8,7.2
TXN000016,2025-03-01,22:45,Beamish,Beer,4,5.8,2.05,Staff H,23.2,8.2,15.0
TXN000017,2025-08-16,01:50,Coke,Soft Drink,1,3.4,0.95,Staff B,3.4,0.95,2.45
TXN000018,2025-06-14,23:40,Jagerbomb,Spirits,1,8.5,3.1,Staff F,8.5,3.1,5.4
TXN000018,2025-06-14,23:40,Vodka Coke,Spirits,1,7.6,2.25,Staff F,7.6,2.25,5.35
TXN000018,2025-06-14,23:40,Carlsberg,Beer,2,5.9,2.25,Staff F,11.8,4.5,7.3
TXN000018,2025-06-14,23:40,Vodka Red Bull,Spirits,2,8.7,3.0,Staff F,17.4,6.0,11.4
TXN000019,2025-02-07,20:30,Vodka White Lemonade,Spirits,2,7.6,2.2,Staff C,15.2,4.4,10.8
TXN000019,2025-02-07,20:30,Coors Light,Beer,3,6.0,2.35,Staff C,18.0,7.05,10.95
TXN000020,2025-12-26,21:05,Vodka Coke,Spirits,1,7.6,2.25,Staff A,7.6,2.25,5.35
TXN000020,2025-12-26,21:05,Gin White Lemonade,Spirits,3,7.8,2.35,Staff A,23.4,7.05,16.35
TXN000021,2025-05-10,16:55,Carlsberg,Beer,1,5.9,2.25,Staff E,5.9,2.25,3.65
TXN000022,2025-07-18,22:25,Smirnoff Ice,Alcopops,1,6.3,2.7,Staff A,6.3,2.7,3.6
TXN000023,2025-07-11,19:35,Heineken,Beer,1,6.1,2.35,Staff E,6.1,2.35,3.75
TXN000024,2025-06-11,22:25,Rockshore Cider,Cider,1,6.2,2.55,Staff B,6.2,2.55,3.65
TXN000025,2025-11-12,20:05,Prosecco,Wine,1,8.8,3.55,Staff A,8.8,3.55,5.25
TXN000026,2025-03-10,19:10,Guinness,Beer,1,5.9,2.15,Staff H,5.9,2.15,3.75
